17:20:26 [INFO] Opening target process: csgo.exe
17:20:26 [INFO] Starting signature scanning: 58 items
17:20:26 [INFO] Found signature: dwClientState => 0x59F19C
17:20:26 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
17:20:26 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
17:20:26 [INFO] Found signature: dwClientState_Map => 0x28C
17:20:26 [INFO] Found signature: dwClientState_MapDirectory => 0x188
17:20:26 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
17:20:26 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
17:20:26 [INFO] Found signature: dwClientState_State => 0x108
17:20:26 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
17:20:26 [INFO] Found signature: clientstate_delta_ticks => 0x174
17:20:26 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
17:20:26 [INFO] Found signature: clientstate_choked_commands => 0x4D30
17:20:26 [INFO] Found signature: clientstate_net_channel => 0x9C
17:20:26 [INFO] Found signature: dwEntityList => 0x4DFFEF4
17:20:26 [INFO] Found signature: dwForceAttack => 0x322DCFC
17:20:26 [INFO] Found signature: dwForceAttack2 => 0x322DD08
17:20:26 [INFO] Found signature: dwForceBackward => 0x322DD38
17:20:26 [INFO] Found signature: dwForceForward => 0x322DD2C
17:20:26 [INFO] Found signature: dwForceJump => 0x52BBC7C
17:20:26 [INFO] Found signature: dwForceLeft => 0x322DD44
17:20:26 [INFO] Found signature: dwForceRight => 0x322DD50
17:20:26 [INFO] Found signature: dwGameDir => 0x63AD80
17:20:26 [INFO] Found signature: dwGameRulesProxy => 0x532F4AC
17:20:26 [INFO] Found signature: dwGetAllClasses => 0xE0BFDC
17:20:26 [INFO] Found signature: dwGlobalVars => 0x59EE60
17:20:26 [INFO] Found signature: dwGlowObjectManager => 0x535A9C8
17:20:26 [INFO] Found signature: dwInput => 0x525D4C8
17:20:26 [INFO] Found signature: dwInterfaceLinkList => 0x99BC84
17:20:26 [INFO] Found signature: dwLocalPlayer => 0xDEA964
17:20:26 [INFO] Found signature: dwMouseEnable => 0x5239128
17:20:26 [INFO] Found signature: dwMouseEnablePtr => 0x52390F8
17:20:26 [INFO] Found signature: dwPlayerResource => 0x322C0A0
17:20:26 [INFO] Found signature: dwRadarBase => 0x52369CC
17:20:26 [INFO] Found signature: dwSensitivity => 0xDEEB80
17:20:26 [INFO] Found signature: dwSensitivityPtr => 0xDEEB80
17:20:26 [INFO] Found signature: dwSetClanTag => 0x8DA80
17:20:26 [INFO] Found signature: dwViewMatrix => 0x4DF0D24
17:20:26 [INFO] Found signature: dwWeaponTable => 0x525E5A4
17:20:26 [INFO] Found signature: dwWeaponTableIndex => 0x326C
17:20:26 [INFO] Found signature: dwYawPtr => 0xDEE910
17:20:26 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDF4380
17:20:26 [INFO] Found signature: dwbSendPackets => 0xDD2B2
17:20:26 [INFO] Found signature: dwppDirect3DDevice9 => 0xA62C0
17:20:26 [INFO] Found signature: m_pStudioHdr => 0x2950
17:20:26 [INFO] Found signature: m_yawClassPtr => 0xDEE910
17:20:26 [INFO] Found signature: m_pitchClassPtr => 0x5239020
17:20:26 [INFO] Found signature: interface_engine_cvar => 0x3FA9C
17:20:26 [INFO] Found signature: convar_name_hash_table => 0x301A0
17:20:26 [INFO] Found signature: m_bDormant => 0xED
17:20:26 [INFO] Found signature: model_ambient_min => 0x5A1194
17:20:26 [INFO] Found signature: set_abs_angles => 0x1E72D0
17:20:26 [INFO] Found signature: set_abs_origin => 0x1E7110
17:20:26 [INFO] Found signature: is_c4_owner => 0x3E69E0
17:20:26 [INFO] Found signature: force_update_spectator_glow => 0x3D91CA
17:20:26 [INFO] Found signature: anim_overlays => 0x2990
17:20:26 [INFO] Found signature: m_flSpawnTime => 0x103C0
17:20:26 [INFO] Found signature: find_hud_element => 0x29F5FBD0
17:20:26 [INFO] Found signature: m_bIsLocalPlayer => 0x3628
17:20:26 [INFO] Finished signature scanning: 58/58 items successful
17:20:26 [INFO] Starting netvar scanning: 94 items
17:20:26 [INFO] Found netvar: m_ArmorValue => 0x117CC
17:20:26 [INFO] Found netvar: m_Collision => 0x320
17:20:26 [INFO] Found netvar: m_CollisionGroup => 0x474
17:20:26 [INFO] Found netvar: m_Local => 0x2FCC
17:20:26 [INFO] Found netvar: m_MoveType => 0x25B
17:20:26 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
17:20:26 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
17:20:26 [INFO] Found netvar: m_aimPunchAngle => 0x303C
17:20:26 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
17:20:26 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
17:20:26 [INFO] Found netvar: m_bHasDefuser => 0x117DC
17:20:26 [INFO] Found netvar: m_bHasHelmet => 0x117C0
17:20:26 [INFO] Found netvar: m_bInReload => 0x3248
17:20:26 [INFO] Found netvar: m_bIsDefusing => 0x997C
17:20:26 [INFO] Found netvar: m_bIsScoped => 0x9974
17:20:26 [INFO] Found netvar: m_bSpotted => 0x93D
17:20:26 [INFO] Found netvar: m_bSpottedByMask => 0x980
17:20:26 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
17:20:26 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
17:20:26 [INFO] Found netvar: m_fFlags => 0x104
17:20:26 [INFO] Found netvar: m_hViewModel => 0x3308
17:20:26 [INFO] Found netvar: m_flFallbackWear => 0x31E0
17:20:26 [INFO] Found netvar: m_flFlashDuration => 0x10470
17:20:26 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
17:20:26 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
17:20:26 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
17:20:26 [INFO] Found netvar: m_hMyWeapons => 0x2F08
17:20:26 [INFO] Found netvar: m_hObserverTarget => 0x339C
17:20:26 [INFO] Found netvar: m_hOwner => 0x29DC
17:20:26 [INFO] Found netvar: m_hOwnerEntity => 0x14C
17:20:26 [INFO] Found netvar: m_iAccountID => 0x2FD8
17:20:26 [INFO] Found netvar: m_iClip1 => 0x3274
